"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-30",,,,,"0.00",,,"55","24","30",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-01",,,,,"0.00",,,"67","28","34",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-02",,,,,"0.00",,,"66","34","37",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-03",,,,,"0.00",,,"48","28","32",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-04",,,,,"0.00",,,"55","29","35",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-05",,,,,"0.00",,,"45","34","42",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-06",,,,,"1.96",,,"47","42","47",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-07",,,,,"0.67",,,"51","33","35",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-08",,,,,"0.00",,,"39","33","34",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-09",,,,,"0.00",,,"44","28","33",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-10",,,,,"0.26",,,"43","31","31",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-11",,,,,"0.00",,,"34","19","20",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-12",,,,,"0.00",,,"30","15","18",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-13",,,,,"0.00",,,"31","12","14",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-14",,,,,"0.00","0.0","0.0","26","12","15",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-15",,,,,"0.00",,,"26","6","10",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-16",,,,,"0.04","0.8","1.0","24","8","23",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-17",,,,,"0.00","0.0","1.0","32","11","20",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-18",,,,,"0.00","0.0","1.0","33","13","16",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-19",,,,,"0.00","0.0","1.0","38","15","26",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-20",,,,,"0.00","0.0","0.0","41","26","27",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-21",,,,,"0.00","0.0","0.0","29","2","7",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-22",,,,,"0.47","6.1","6.0","32","7","32",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-23",,,,,"0.28","0.0","3.0","40","18","20",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-24",,,,,"0.00","0.0","3.0","39","20","29",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-25",,,,,"0.00","0.0","3.0","36","10","15",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-26",,,,,"0.03","0.1","3.0","38","15","32",,,,"    1",,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-27",,,,,"0.00","0.0","3.0","45","16","18",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-28",,,,,"0.00","0.0","3.0","34","17","19",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-29",,,,,"0.00","0.0","3.0","36","13","15",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-30",,,,,"0.53","0.0","2.0","37","14","18",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-12-31",,,,,"0.05","0.6","3.0","18","-5","-2",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-01",,,,,"0.00","0.0","3.0","12","-2","12",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-02",,,,,"0.00","0.0","3.0","30","12","30",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-03",,,,,"0.00","0.0","2.0","43","30","33",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-04",,,,,"0.00","0.0","2.0","38","32","33",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-05",,,,,"0.00","0.0","2.0","37","32","32",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-06",,,,,"0.00","0.0","2.0","37","21","24",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-07",,,,,"0.00","0.0","2.0","37","23","28",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-08",,,,,"0.00","0.0","2.0","43","26","31",,,,,,,
